Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
6,PROCESS,Oversampling_False,XGBoost,0.9705093833780162,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
7,PROCESS,Oversampling_False,XGBoost,0.6581920903954802,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
8,PROCESS,Oversampling_False,XGBoost,0.7097758323385065,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
9,PROCESS,Oversampling_False,XGBoost,0.5643301243481749,0.13333333333333333,0.16666666666666663,0.1111111111111111,0.13322919825175597,0.8888888888888888,0.9977436823104694,0.002256317689530686,9,1
10,PROCESS,Oversampling_False,XGBoost,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
11,PROCESS,Oversampling_False,XGBoost,0.3632958801498127,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
12,PROCESS,Oversampling_False,XGBoost,0.7600836820083682,0.0,0.0,0.0,-0.0064073499433017125,1.0,0.998326359832636,0.0016736401673640166,30,0
13,PROCESS,Oversampling_False,XGBoost,0.8355704697986577,0.0,0.0,0.0,-0.0033557046979865775,1.0,0.9966442953020134,0.0033557046979865775,1,0
14,PROCESS,Oversampling_False,XGBoost,0.892269805492946,0.1818181818181818,0.5,0.1111111111111111,0.2334952865687272,0.8888888888888888,0.9992486851990984,0.0007513148009015778,9,1
15,PROCESS,Oversampling_False,XGBoost,0.9878892733564013,0.6666666666666665,1.0,0.5,0.7058865787567897,0.5,1.0,0.0,2,1
16,PROCESS,Oversampling_False,XGBoost,0.7207207207207208,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
17,PROCESS,Oversampling_False,XGBoost,0.7601548801870252,0.0,0.0,0.0,-0.005406576931674362,1.0,0.9992816091954023,0.0007183908045977011,59,0
18,PROCESS,Oversampling_False,XGBoost,0.794017992756163,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
19,PROCESS,Oversampling_False,XGBoost,0.8564512841418671,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22,0
20,PROCESS,Oversampling_False,XGBoost,0.712200956937799,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
21,PROCESS,Oversampling_False,XGBoost,0.5440156260524012,0.0,0.0,0.0,-0.0032181802628170556,1.0,0.9992927864214994,0.0007072135785007072,21,0
22,PROCESS,Oversampling_False,XGBoost,0.9422632794457275,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
23,PROCESS,Oversampling_False,XGBoost,0.7741834661665885,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
24,PROCESS,Oversampling_False,XGBoost,0.885177151120752,0.5714285714285715,1.0,0.4,0.6317706855609867,0.6,1.0,0.0,5,2
25,PROCESS,Oversampling_False,XGBoost,0.8756172839506172,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
26,PROCESS,Oversampling_False,XGBoost,0.7545084351367074,0.0,0.0,0.0,-0.0018522774926358415,1.0,0.9973821989528795,0.002617801047120419,3,0
27,PROCESS,Oversampling_False,XGBoost,0.9828025477707008,0.0,0.0,0.0,-0.001905978200333816,1.0,0.9993630573248408,0.0006369426751592356,9,0
28,PROCESS,Oversampling_False,XGBoost,0.572938689217759,0.0,0.0,0.0,-0.002953390618354509,1.0,0.9991055456171736,0.0008944543828264759,11,0
29,PROCESS,Oversampling_False,XGBoost,0.8548387096774194,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
1,PROCESS,Oversampling_False,FCN,0.7600756639901174,0.13392857142857142,0.078125,0.46875,0.15457039838702227,0.53125,0.8906732550957382,0.10932674490426189,32,15
2,PROCESS,Oversampling_False,FCN,0.7789033882783882,0.056782334384858045,0.03272727272727273,0.21428571428571427,0.05009095166349633,0.7857142857142857,0.9086538461538461,0.09134615384615383,42,9
3,PROCESS,Oversampling_False,FCN,0.7420523138832997,0.11594202898550723,0.07272727272727272,0.2857142857142857,0.07620445087041487,0.7142857142857143,0.856338028169014,0.14366197183098592,42,12
4,PROCESS,Oversampling_False,FCN,0.5778067885117493,0.010968921389396709,0.005565862708719851,0.375,0.013629117680672374,0.625,0.7201044386422977,0.2798955613577023,8,3
5,PROCESS,Oversampling_False,FCN,0.5544164037854891,0.007017543859649122,0.0035587188612099642,0.25,-0.006296269983522162,0.75,0.7055730809674029,0.29442691903259727,4,1
6,PROCESS,Oversampling_False,FCN,1.0,0.00628930817610063,0.0031545741324921135,1.0,0.042449997878886585,0.0,0.5712347354138398,0.42876526458616016,1,1
7,PROCESS,Oversampling_False,FCN,0.7387931034482759,0.04166666666666666,0.021390374331550797,0.8,0.08507467007587793,0.2,0.6056034482758621,0.39439655172413796,5,4
8,PROCESS,Oversampling_False,FCN,0.5455680399500624,0.061224489795918366,0.03296703296703297,0.42857142857142855,0.057551847228476574,0.5714285714285714,0.7528089887640449,0.24719101123595505,21,9
9,PROCESS,Oversampling_False,FCN,0.7635805266072597,0.018944519621109608,0.009589041095890411,0.7777777777777779,0.06091740707107915,0.2222222222222222,0.6724059809696421,0.32759401903035795,9,7
10,PROCESS,Oversampling_False,FCN,0.9995061728395062,0.002150537634408602,0.001076426264800861,1.0,0.024148098741575114,0.0,0.5417283950617284,0.4582716049382716,1,1
11,PROCESS,Oversampling_False,FCN,0.5246913580246914,0.04878048780487805,0.02564102564102564,0.5,0.009483176972207207,0.5,0.5308641975308642,0.4691358024691358,2,1
12,PROCESS,Oversampling_False,FCN,0.4953664700926706,0.05345211581291759,0.02857142857142857,0.41379310344827586,0.02248390626058646,0.5862068965517241,0.6562763268744735,0.34372367312552654,29,12
13,PROCESS,Oversampling_False,FCN,0.3598615916955017,0.0,0.0,0.0,-0.071018958398836,1.0,0.40484429065743943,0.5951557093425606,1,0
14,PROCESS,Oversampling_False,FCN,0.4778534207429819,0.015094339622641511,0.0078125,0.2222222222222222,0.006256361424221989,0.7777777777777779,0.8078668683812406,0.19213313161875945,9,2
15,PROCESS,Oversampling_False,FCN,0.9893238434163701,0.017241379310344827,0.008695652173913044,1.0,0.07188795931242523,0.0,0.594306049822064,0.40569395017793597,1,1
16,PROCESS,Oversampling_False,FCN,0.8924485125858124,0.06611570247933884,0.03418803418803419,1.0,0.1592094534304068,0.0,0.7414187643020596,0.2585812356979405,4,4
17,PROCESS,Oversampling_False,FCN,0.4318940601953358,0.05309734513274336,0.029585798816568046,0.25862068965517243,-0.03986249015333723,0.7413793103448276,0.6445086705202311,0.3554913294797688,58,15
18,PROCESS,Oversampling_False,FCN,0.8029016277423919,0.05150214592274678,0.026785714285714284,0.6666666666666665,0.0993089626579339,0.33333333333333326,0.7685774946921444,0.23142250530785563,9,6
19,PROCESS,Oversampling_False,FCN,0.8259549057963554,0.08830022075055188,0.04640371229698376,0.9090909090909091,0.1368002816836543,0.09090909090909091,0.5345413363533409,0.4654586636466591,22,20
20,PROCESS,Oversampling_False,FCN,0.7768841227286267,0.07446808510638298,0.03910614525139665,0.7777777777777779,0.09624608205264094,0.2222222222222222,0.5388739946380697,0.46112600536193027,9,7
21,PROCESS,Oversampling_False,FCN,0.6220301643789188,0.03676470588235294,0.019120458891013385,0.4761904761904761,0.027760923689275005,0.5238095238095238,0.6348754448398577,0.36512455516014236,21,10
22,PROCESS,Oversampling_False,FCN,0.8514150943396226,0.0,0.0,0.0,-0.01833088937766916,1.0,0.875,0.125,1,0
23,PROCESS,Oversampling_False,FCN,0.6145092460881934,0.05504587155963304,0.02903225806451613,0.5294117647058824,0.031046344471141792,0.4705882352941176,0.5718349928876245,0.42816500711237554,17,9
24,PROCESS,Oversampling_False,FCN,0.7890829694323145,0.012500000000000002,0.006299212598425197,0.8,0.041091284251310804,0.2,0.5407569141193596,0.45924308588064044,5,4
25,PROCESS,Oversampling_False,FCN,0.6940509915014164,0.04761904761904761,0.02857142857142857,0.14285714285714285,0.02169130919591264,0.8571428571428571,0.9036827195467422,0.09631728045325777,7,1
26,PROCESS,Oversampling_False,FCN,0.6681267338297562,0.003669724770642202,0.0018399264029438822,0.6666666666666665,0.013876014499942182,0.33333333333333326,0.5247481384143671,0.47525186158563293,3,2
27,PROCESS,Oversampling_False,FCN,0.8134386789095309,0.018018018018018018,0.009101251422070534,0.8888888888888888,0.050327270689792425,0.1111111111111111,0.44202434336963486,0.5579756566303652,9,8
28,PROCESS,Oversampling_False,FCN,0.778096565292237,0.03303303303303303,0.016793893129770993,1.0,0.08391438112261582,0.0,0.4192966636609558,0.5807033363390441,11,11
29,PROCESS,Oversampling_False,FCN,0.7517433751743375,0.030000000000000006,0.015228426395939087,1.0,0.05354696010488258,0.0,0.18828451882845187,0.8117154811715481,3,3
1,PROCESS,Oversampling_False,ResNet,0.7471046942557135,0.15789473684210528,0.1,0.375,0.16371281253583997,0.625,0.9332921556516368,0.06670784434836319,32,12
2,PROCESS,Oversampling_False,ResNet,0.7734988226059655,0.05555555555555556,0.036231884057971016,0.11904761904761903,0.04116326986112365,0.8809523809523809,0.954326923076923,0.04567307692307691,42,5
3,PROCESS,Oversampling_False,ResNet,0.7460317460317459,0.14754098360655735,0.1125,0.21428571428571427,0.1089210032511085,0.7857142857142857,0.9333333333333332,0.06666666666666667,42,9
