Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
11,PROCESS,Oversampling_True,GradientBoost,0.8307031940411564,0.41379310344827586,0.8888888888888888,0.2696629213483146,0.3288886900144577,0.7303370786516854,0.9662921348314607,0.033707865168539325,89,24
12,PROCESS,Oversampling_True,GradientBoost,0.8882862694980829,0.7501159017153454,0.840956340956341,0.6769874476987447,0.5596959954986764,0.32301255230125525,0.8719665271966527,0.1280334728033473,1195,809
13,PROCESS,Oversampling_True,GradientBoost,0.28523489932885904,0.0,0.0,0.0,-0.016325380934482773,1.0,0.9261744966442953,0.0738255033557047,1,0
14,PROCESS,Oversampling_True,GradientBoost,0.896503987161605,0.8231859883236029,0.9250234301780693,0.7415477084898573,0.6952559810687885,0.25845229151014276,0.9398948159278738,0.06010518407212622,1331,987
15,PROCESS,Oversampling_True,GradientBoost,0.9963123046898384,0.9581239530988276,0.9285714285714286,0.9896193771626297,0.915475416434127,0.010380622837370242,0.9238754325259516,0.07612456747404844,289,286
16,PROCESS,Oversampling_True,GradientBoost,0.9759201769336905,0.9187935034802783,0.9473684210526315,0.8918918918918919,0.843790307402699,0.1081081081081081,0.9504504504504504,0.04954954954954955,444,396
17,PROCESS,Oversampling_True,GradientBoost,0.9168155572896024,0.6699507389162562,0.8894173602853744,0.5373563218390804,0.5123973816015012,0.46264367816091956,0.9331896551724138,0.0668103448275862,1392,748
18,PROCESS,Oversampling_True,GradientBoost,0.9624613418162961,0.81973203410475,0.9739507959479016,0.7076761303890642,0.7160283283817835,0.29232386961093587,0.9810725552050473,0.01892744479495268,951,673
19,PROCESS,Oversampling_True,GradientBoost,0.9114984465804662,0.6629910406616126,0.8604651162790699,0.5392376681614349,0.4870023959383968,0.460762331838565,0.9125560538116592,0.08744394618834081,892,481
20,PROCESS,Oversampling_True,GradientBoost,0.9678670360110803,0.929368029739777,0.8782201405152225,0.9868421052631579,0.8565771165955676,0.013157894736842105,0.8631578947368422,0.1368421052631579,380,375
21,PROCESS,Oversampling_True,GradientBoost,0.8327877519010742,0.5726455276857548,0.8655221745350501,0.42786421499292787,0.4188846843196212,0.5721357850070722,0.9335219236209337,0.06647807637906648,1414,605
22,PROCESS,Oversampling_True,GradientBoost,0.9976905311778291,0.05405405405405405,0.027777777777777776,1.0,0.1597888008195,0.0,0.9191685912240185,0.08083140877598152,1,1
23,PROCESS,Oversampling_True,GradientBoost,0.8919837158100257,0.6028169014084507,0.9067796610169492,0.45147679324894513,0.46838742881274603,0.5485232067510548,0.9535864978902954,0.046413502109704644,711,321
24,PROCESS,Oversampling_True,GradientBoost,0.998405909167669,0.9656140350877194,0.9379686434901159,0.994938539407086,0.9308581279261063,0.005061460592913955,0.9342010122921187,0.06579898770788142,1383,1376
25,PROCESS,Oversampling_True,GradientBoost,0.9652700617283951,0.8359133126934983,0.944055944055944,0.75,0.7209511439956361,0.25,0.9555555555555556,0.044444444444444446,360,270
26,PROCESS,Oversampling_True,GradientBoost,0.8440363933737196,0.6262737537868356,0.8491411501120238,0.4960732984293193,0.44855321290825567,0.5039267015706806,0.9118673647469459,0.0881326352530541,2292,1137
27,PROCESS,Oversampling_True,GradientBoost,0.9478968720840603,0.908573236317621,0.9025769956002514,0.9146496815286624,0.8159965659017743,0.08535031847133757,0.9012738853503186,0.09872611464968153,1570,1436
28,PROCESS,Oversampling_True,GradientBoost,0.8149291476921796,0.7280182232346241,0.7418755803156918,0.7146690518783543,0.46632441455582074,0.2853309481216458,0.7513416815742398,0.24865831842576028,1118,799
29,PROCESS,Oversampling_True,GradientBoost,0.8309215660770032,0.4761904761904761,0.7798165137614679,0.34274193548387094,0.2970031828838709,0.657258064516129,0.9032258064516128,0.0967741935483871,248,85
1,PROCESS,Oversampling_True,XGBoost,0.9603657660192838,0.5807841447651875,0.9697841726618706,0.4145141451414514,0.48984131799509845,0.5854858548585485,0.9870848708487084,0.012915129151291513,1626,674
2,PROCESS,Oversampling_True,XGBoost,0.9779038121403275,0.8914714151827554,0.9850869925434964,0.8141047586442999,0.8141376724310525,0.1858952413557001,0.9876754536117768,0.012324546388223213,2921,2378
3,PROCESS,Oversampling_True,XGBoost,0.9580710825366111,0.8799171842650104,0.9906759906759907,0.7914338919925512,0.8003382852106532,0.2085661080074488,0.9925512104283054,0.0074487895716946,1074,850
4,PROCESS,Oversampling_True,XGBoost,0.9479217543146857,0.6035587188612099,0.9571106094808127,0.4407484407484408,0.5000064777969702,0.5592515592515592,0.9802494802494802,0.01975051975051975,1924,848
5,PROCESS,Oversampling_True,XGBoost,0.7988715277777777,0.4052936311000827,0.9839357429718877,0.2552083333333333,0.37361916377598203,0.7447916666666665,0.9958333333333332,0.004166666666666667,960,245
6,PROCESS,Oversampling_True,XGBoost,0.8123324396782842,0.0,0.0,0.0,-0.005059907956629803,1.0,0.9812332439678283,0.01876675603217158,1,0
7,PROCESS,Oversampling_True,XGBoost,0.9761742315426601,0.8867924528301886,1.0,0.7966101694915254,0.813616513466827,0.2033898305084746,1.0,0.0,472,376
8,PROCESS,Oversampling_True,XGBoost,0.9383539854594548,0.5563612392880685,0.9590909090909091,0.39182915506035276,0.4652106175034646,0.6081708449396471,0.9832869080779945,0.016713091922005572,1077,422
9,PROCESS,Oversampling_True,XGBoost,0.9610581559775312,0.8438861830299923,0.9768545994065282,0.7427797833935018,0.746941508564147,0.2572202166064982,0.9824007220216606,0.01759927797833935,2216,1646
10,PROCESS,Oversampling_True,XGBoost,0.996558505408063,0.18181818181818182,0.1,1.0,0.3155273714337534,0.0,0.995575221238938,0.004424778761061947,1,1
11,PROCESS,Oversampling_True,XGBoost,0.9193283676303496,0.18367346938775508,1.0,0.10112359550561796,0.23076923076923075,0.898876404494382,1.0,0.0,89,9
12,PROCESS,Oversampling_True,XGBoost,0.9351397909700461,0.6074240719910011,0.9262435677530018,0.45188284518828453,0.48422034753000914,0.5481171548117155,0.9640167364016736,0.03598326359832636,1195,540
13,PROCESS,Oversampling_True,XGBoost,0.8758389261744967,0.0,0.0,0.0,-0.005831853958022422,1.0,0.9899328859060402,0.010067114093959731,1,0
14,PROCESS,Oversampling_True,XGBoost,0.9281162206664066,0.5437100213219616,0.9357798165137615,0.38317054845980464,0.44221648627257004,0.6168294515401953,0.9737039819684448,0.02629601803155522,1331,510
15,PROCESS,Oversampling_True,XGBoost,0.9995689706780331,0.9913344887348354,0.9930555555555556,0.9896193771626297,0.9827048449359229,0.010380622837370242,0.9930795847750865,0.006920415224913495,289,286
16,PROCESS,Oversampling_True,XGBoost,0.9865727213700186,0.7967698519515477,0.9899665551839465,0.6666666666666665,0.6981912130736323,0.33333333333333326,0.9932432432432432,0.006756756756756756,444,296
17,PROCESS,Oversampling_True,XGBoost,0.9307932128583697,0.48738593666129904,0.9639065817409767,0.3261494252873563,0.4186809173151168,0.6738505747126436,0.9877873563218391,0.012212643678160919,1392,454
18,PROCESS,Oversampling_True,XGBoost,0.9921727198444052,0.8158710477371359,0.9939577039274926,0.6919032597266036,0.7218349583153318,0.30809674027339645,0.9957939011566772,0.004206098843322818,951,658
19,PROCESS,Oversampling_True,XGBoost,0.9366906131231273,0.7106382978723402,0.9671814671814671,0.5616591928251121,0.597672988985419,0.4383408071748879,0.9809417040358744,0.01905829596412556,892,501
20,PROCESS,Oversampling_True,XGBoost,0.9735457063711912,0.7665056360708534,0.9875518672199171,0.6263157894736842,0.664470434823151,0.37368421052631573,0.9921052631578946,0.007894736842105263,380,238
